Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
Z01,1,5,2020,NaN,core,,,1339,995
Z01,1,5,2020,NaN,1,2021,361.71,1253,643
Z01,1,5,2020,NaN,2,2022,44.63,1242,600
Z01,1,5,2020,NaN,3,2023,53.56,1230,548
Z01,1,5,2020,NaN,4,2024,46.93,1218,502
Z01,1,5,2020,NaN,5,2025,35.41,1210,468
Z01,1,5,2020,NaN,edge,,0.00,1210,468
Z02,1,3,2022,NaN,core,,,1679,920
Z02,1,3,2022,NaN,1,2023,384.61,1573,550
Z02,1,3,2022,NaN,2,2024,102.40,1545,451
Z02,1,3,2022,NaN,3,2025,75.64,1524,379
Z02,1,3,2022,NaN,edge,,1.60,1523,377
Z03,1,4,2021,NaN,core,,,1582,783
Z03,1,4,2021,NaN,1,2022,292.79,1569,490
Z03,1,4,2021,NaN,2,2023,92.43,1565,398
Z03,1,4,2021,NaN,3,2024,62.72,1562,335
Z03,1,4,2021,NaN,4,2025,35.04,1560,300
Z03,1,4,2021,NaN,edge,,0.00,1560,300
Z04,1,4,2021,NaN,core,,,974,974
Z04,1,4,2021,NaN,1,2022,332.69,848,666
Z04,1,4,2021,NaN,2,2023,135.47,796,541
Z04,1,4,2021,NaN,3,2024,38.32,782,506
Z04,1,4,2021,NaN,4,2025,75.73,753,436
Z04,1,4,2021,NaN,edge,,1.08,753,435
Z05,1,4,2021,NaN,core,,,1017,938
Z05,1,4,2021,NaN,1,2022,334.18,952,610
Z05,1,4,2021,NaN,2,2023,126.74,928,486
Z05,1,4,2021,NaN,3,2024,65.85,915,421
Z05,1,4,2021,NaN,4,2025,37.32,908,385
Z05,1,4,2021,NaN,edge,,0.03,908,385
Z06,1,3,2022,NaN,core,,,1182,1033
Z06,1,3,2022,NaN,1,2023,362.05,1119,676
Z06,1,3,2022,NaN,2,2024,108.64,1100,569
Z06,1,3,2022,NaN,3,2025,61.16,1089,509
Z06,1,3,2022,NaN,edge,,0.05,1089,509
Z07,1,3,2022,NaN,core,,,1179,840
Z07,1,3,2022,NaN,1,2023,417.67,1090,432
Z07,1,3,2022,NaN,2,2024,98.52,1069,336
Z07,1,3,2022,NaN,3,2025,47.96,1059,289
Z07,1,3,2022,NaN,edge,,1.54,1059,287
Z08,1,4,2021,NaN,core,,,1268,948
Z08,1,4,2021,NaN,1,2022,329.07,1107,660
Z08,1,4,2021,NaN,2,2023,102.47,1057,571
Z08,1,4,2021,NaN,3,2024,69.01,1023,511
Z08,1,4,2021,NaN,4,2025,27.29,1010,487
Z08,1,4,2021,NaN,edge,,0.50,1010,486
Z09,1,7,2018,NaN,core,,,1303,994
Z09,1,7,2018,NaN,1,2019,313.49,1285,681
Z09,1,7,2018,NaN,2,2020,56.61,1282,624
Z09,1,7,2018,NaN,3,2021,23.52,1281,601
Z09,1,7,2018,NaN,4,2022,33.59,1279,567
Z09,1,7,2018,NaN,5,2023,22.52,1278,545
Z09,1,7,2018,NaN,6,2024,26.71,1276,518
Z09,1,7,2018,NaN,7,2025,29.38,1274,489
Z09,1,7,2018,NaN,edge,,1.33,1274,488
Z10,1,5,2020,NaN,core,,,957,1048
Z10,1,5,2020,NaN,1,2021,316.07,882,741
Z10,1,5,2020,NaN,2,2022,92.77,860,651
Z10,1,5,2020,NaN,3,2023,54.45,847,598
Z10,1,5,2020,NaN,4,2024,50.69,835,549
Z10,1,5,2020,NaN,5,2025,37.77,826,513
Z10,1,5,2020,NaN,edge,,0.18,826,512
Z11,1,5,2020,NaN,core,,,1319,924
Z11,1,5,2020,NaN,1,2021,380.95,1304,543
Z11,1,5,2020,NaN,2,2022,46.39,1302,497
Z11,1,5,2020,NaN,3,2023,55.69,1300,441
Z11,1,5,2020,NaN,4,2024,40.02,1298,401
Z11,1,5,2020,NaN,5,2025,31.29,1297,370
Z11,1,5,2020,NaN,edge,,0.00,1297,370
Z12,1,4,2021,NaN,core,,,1363,978
Z12,1,4,2021,NaN,1,2022,350.60,1349,628
Z12,1,4,2021,NaN,2,2023,125.45,1344,502
Z12,1,4,2021,NaN,3,2024,53.37,1342,449
Z12,1,4,2021,NaN,4,2025,67.31,1339,382
Z12,1,4,2021,NaN,edge,,0.00,1339,382
Z13,1,4,2021,NaN,core,,,1166,867
Z13,1,4,2021,NaN,1,2022,418.03,1090,456
Z13,1,4,2021,NaN,2,2023,74.06,1077,383
Z13,1,4,2021,NaN,3,2024,31.66,1071,352
Z13,1,4,2021,NaN,4,2025,53.84,1062,299
Z13,1,4,2021,NaN,edge,,0.00,1062,299
Z14,1,3,2022,NaN,core,,,1225,799
Z14,1,3,2022,NaN,1,2023,405.38,1131,405
Z14,1,3,2022,NaN,2,2024,72.44,1114,334
Z14,1,3,2022,NaN,3,2025,50.62,1102,285
Z14,1,3,2022,NaN,edge,,0.00,1102,285
Z15,1,4,2021,NaN,core,,,1250,886
Z15,1,4,2021,NaN,1,2022,369.95,1175,524
Z15,1,4,2021,NaN,2,2023,100.16,1154,426
Z15,1,4,2021,NaN,3,2024,53.94,1143,373
Z15,1,4,2021,NaN,4,2025,31.87,1137,342
Z15,1,4,2021,NaN,edge,,0.42,1137,341
Z16,1,6,2019,NaN,core,,,1018,982
Z16,1,6,2019,NaN,1,2020,336.66,963,649
Z16,1,6,2019,NaN,2,2021,81.07,949,569
