Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
Z01,1,5,2025,NaN,core,,,1339,995
Z01,1,5,2025,NaN,1,2026,359.76,1253,645
Z01,1,5,2025,NaN,2,2027,67.91,1237,579
Z01,1,5,2025,NaN,3,2028,33.47,1229,547
Z01,1,5,2025,NaN,4,2029,46.57,1218,502
Z01,1,5,2025,NaN,5,2030,33.79,1210,469
Z01,1,5,2025,NaN,edge,,0.73,1210,468
Z02,1,3,2025,NaN,core,,,1679,920
Z02,1,3,2025,NaN,1,2026,384.68,1573,550
Z02,1,3,2025,NaN,2,2027,102.56,1545,451
Z02,1,3,2025,NaN,3,2028,77.01,1523,377
Z02,1,3,2025,NaN,edge,,0.00,1523,377
Z03,1,4,2025,NaN,core,,,1582,783
Z03,1,4,2025,NaN,1,2026,290.78,1569,492
Z03,1,4,2025,NaN,2,2027,94.11,1565,398
Z03,1,4,2025,NaN,3,2028,61.04,1562,337
Z03,1,4,2025,NaN,4,2029,37.05,1560,300
Z03,1,4,2025,NaN,edge,,0.01,1560,300
Z04,1,3,2025,NaN,core,,,974,974
Z04,1,3,2025,NaN,1,2026,338.34,846,661
Z04,1,3,2025,NaN,2,2027,130.54,796,540
Z04,1,3,2025,NaN,3,2028,113.84,753,435
Z04,1,3,2025,NaN,edge,,0.56,753,435
Z05,1,4,2025,NaN,core,,,1017,938
Z05,1,4,2025,NaN,1,2026,332.16,953,612
Z05,1,4,2025,NaN,2,2027,128.52,928,486
Z05,1,4,2025,NaN,3,2028,67.95,915,419
Z05,1,4,2025,NaN,4,2029,35.50,908,385
Z05,1,4,2025,NaN,edge,,0.00,908,385
Z06,1,3,2025,NaN,core,,,1182,1033
Z06,1,3,2025,NaN,1,2026,361.61,1119,676
Z06,1,3,2025,NaN,2,2027,111.69,1099,566
Z06,1,3,2025,NaN,3,2028,58.61,1089,509
Z06,1,3,2025,NaN,edge,,0.00,1089,509
Z07,1,3,2025,NaN,core,,,1179,840
Z07,1,3,2025,NaN,1,2026,419.36,1090,430
Z07,1,3,2025,NaN,2,2027,97.55,1069,335
Z07,1,3,2025,NaN,3,2028,48.52,1059,288
Z07,1,3,2025,NaN,edge,,0.25,1059,287
Z08,1,4,2025,NaN,core,,,1268,948
Z08,1,4,2025,NaN,1,2026,333.41,1105,656
Z08,1,4,2025,NaN,2,2027,98.56,1057,570
Z08,1,4,2025,NaN,3,2028,54.26,1030,523
Z08,1,4,2025,NaN,4,2029,41.83,1010,487
Z08,1,4,2025,NaN,edge,,0.29,1010,486
Z09,1,6,2025,NaN,core,,,1303,994
Z09,1,6,2025,NaN,1,2026,311.52,1285,683
Z09,1,6,2025,NaN,2,2027,81.10,1281,602
Z09,1,6,2025,NaN,3,2028,32.06,1279,570
Z09,1,6,2025,NaN,4,2029,25.07,1278,545
Z09,1,6,2025,NaN,5,2030,27.36,1276,518
Z09,1,6,2025,NaN,6,2031,29.71,1274,488
Z09,1,6,2025,NaN,edge,,0.31,1274,488
Z10,1,5,2025,NaN,core,,,957,1048
Z10,1,5,2025,NaN,1,2026,309.72,883,748
Z10,1,5,2025,NaN,2,2027,101.54,859,649
Z10,1,5,2025,NaN,3,2028,53.52,846,597
Z10,1,5,2025,NaN,4,2029,50.37,834,548
Z10,1,5,2025,NaN,5,2030,36.78,826,512
Z10,1,5,2025,NaN,edge,,0.00,826,512
Z11,1,4,2025,NaN,core,,,1319,924
Z11,1,4,2025,NaN,1,2026,388.94,1303,535
Z11,1,4,2025,NaN,2,2027,93.09,1300,442
Z11,1,4,2025,NaN,3,2028,41.01,1298,401
Z11,1,4,2025,NaN,4,2029,31.30,1297,370
Z11,1,4,2025,NaN,edge,,0.00,1297,370
Z12,1,4,2025,NaN,core,,,1363,978
Z12,1,4,2025,NaN,1,2026,351.61,1349,627
Z12,1,4,2025,NaN,2,2027,125.45,1344,501
Z12,1,4,2025,NaN,3,2028,50.84,1342,451
Z12,1,4,2025,NaN,4,2029,68.82,1339,382
Z12,1,4,2025,NaN,edge,,0.00,1339,382
Z13,1,3,2025,NaN,core,,,1166,867
Z13,1,3,2025,NaN,1,2026,418.62,1090,455
Z13,1,3,2025,NaN,2,2027,104.35,1071,353
Z13,1,3,2025,NaN,3,2028,54.62,1062,299
Z13,1,3,2025,NaN,edge,,0.00,1062,299
Z14,1,3,2025,NaN,core,,,1225,799
Z14,1,3,2025,NaN,1,2026,406.19,1130,404
Z14,1,3,2025,NaN,2,2027,74.71,1113,331
Z14,1,3,2025,NaN,3,2028,47.54,1102,285
Z14,1,3,2025,NaN,edge,,0.00,1102,285
Z15,1,4,2025,NaN,core,,,1250,886
Z15,1,4,2025,NaN,1,2026,374.46,1174,519
Z15,1,4,2025,NaN,2,2027,96.10,1154,425
Z15,1,4,2025,NaN,3,2028,56.48,1143,370
Z15,1,4,2025,NaN,4,2029,28.64,1137,342
Z15,1,4,2025,NaN,edge,,0.65,1137,341
Z16,1,6,2025,NaN,core,,,1018,982
Z16,1,6,2025,NaN,1,2026,341.05,962,645
Z16,1,6,2025,NaN,2,2027,75.73,950,570
