Sample,Quality,Age,Cohort,Core,I,Year,Increment,X,Y
Z01,3,5,2020,NaN,core,"","",1339,995
Z01,3,5,2020,NaN,1,2021,360.33,1253,645
Z01,3,5,2020,NaN,2,2022,63.42,1238,583
Z01,3,5,2020,NaN,3,2023,34.13,1230,550
Z01,3,5,2020,NaN,4,2024,48.20,1219,503
Z01,3,5,2020,NaN,5,2025,35.47,1210,469
Z01,3,5,2020,NaN,edge,"",0.67,1210,468
Z02,3,3,2022,NaN,core,"","",1679,920
Z02,3,3,2022,NaN,1,2023,389.85,1571,545
Z02,3,3,2022,NaN,2,2024,95.37,1545,453
Z02,3,3,2022,NaN,3,2025,78.48,1523,378
Z02,3,3,2022,NaN,edge,"",0.55,1523,377
Z03,3,4,2021,NaN,core,"","",1582,783
Z03,3,4,2021,NaN,1,2022,290.79,1569,492
Z03,3,4,2021,NaN,2,2023,92.06,1565,400
Z03,3,4,2021,NaN,3,2024,61.43,1562,339
Z03,3,4,2021,NaN,4,2025,38.04,1560,301
Z03,3,4,2021,NaN,edge,"",0.67,1560,300
Z04,3,3,2022,NaN,core,"","",974,974
Z04,3,3,2022,NaN,1,2023,332.96,848,666
Z04,3,3,2022,NaN,2,2024,134.57,797,542
Z04,3,3,2022,NaN,3,2025,113.44,754,437
Z04,3,3,2022,NaN,edge,"",2.32,753,435
Z05,3,4,2021,NaN,core,"","",1017,938
Z05,3,4,2021,NaN,1,2022,331.43,953,613
Z05,3,4,2021,NaN,2,2023,127.54,928,488
Z05,3,4,2021,NaN,3,2024,73.48,914,416
Z05,3,4,2021,NaN,4,2025,30.20,908,386
Z05,3,4,2021,NaN,edge,"",1.47,908,385
Z06,3,3,2022,NaN,core,"","",1182,1033
Z06,3,3,2022,NaN,1,2023,363.42,1118,675
Z06,3,3,2022,NaN,2,2024,105.67,1100,571
Z06,3,3,2022,NaN,3,2025,62.27,1089,509
Z06,3,3,2022,NaN,edge,"",0.55,1089,509
Z07,3,3,2022,NaN,core,"","",1179,840
Z07,3,3,2022,NaN,1,2023,414.41,1091,435
Z07,3,3,2022,NaN,2,2024,101.03,1069,336
Z07,3,3,2022,NaN,3,2025,48.05,1059,289
Z07,3,3,2022,NaN,edge,"",2.19,1059,287
Z08,3,4,2021,NaN,core,"","",1268,948
Z08,3,4,2021,NaN,1,2022,424.16,1061,577
Z08,3,4,2021,NaN,2,2023,58.86,1032,526
Z08,3,4,2021,NaN,3,2024,19.42,1022,509
Z08,3,4,2021,NaN,4,2025,24.78,1010,487
Z08,3,4,2021,NaN,edge,"",1.13,1010,486
Z09,3,6,2019,NaN,core,"","",1303,994
Z09,3,6,2019,NaN,1,2020,311.46,1285,683
Z09,3,6,2019,NaN,2,2021,80.68,1281,602
Z09,3,6,2019,NaN,3,2022,32.53,1279,570
Z09,3,6,2019,NaN,4,2023,26.07,1278,544
